Country,Is OECD economy?,Dwellings without basic facilities (%),Housing expenditure (%),Rooms per person (Ratio),Household net adjusted disposable income (US Dollars),Household net wealth (US Dollars),Labour market insecurity (%),Employment rate (%),Long-term unemployment rate (%),Personal earnings (US Dollars),Quality of support network (%),Educational attainment (%),Student skills (Avg. Score),Years in education (Years),Air pollution (Micrograms Per Cubic Metre),Water quality (%),Stakeholder engagement for developing regulations (Avg. Score),Voter turnout (%),Life expectancy (Years),Self-reported health (%),Life satisfaction (Avg. Score),Feeling safe walking alone at night (%),Homicide rate (Ratio),Employees working very long hours (%),Time devoted to leisure and personal care (Hours)
Australia,yes,5.9750000000000005,19.4,1.425,37433.0,528768.0,3.1,73.0,1.0,55206.0,93.0,84.0,499.0,20.0,6.7,92.0,2.7,92.0,83.0,85.0,7.1,67.0,0.9,12.5,14.36
Austria,yes,0.8,20.8,1.6,37001.0,309637.0,2.3,72.0,1.3,53132.0,92.0,86.0,491.0,17.0,12.2,92.0,1.3,76.0,82.0,71.0,7.2,86.0,0.5,5.3,14.51
Belgium,yes,0.7,20.0,2.1,34884.0,447607.0,2.4,65.0,2.3,54327.0,90.0,80.0,500.0,19.0,12.8,79.0,2.0,88.0,82.1,74.0,6.8,56.0,1.1,4.3,15.52
Canada,yes,0.2,22.9,2.6,34421.0,478240.0,3.8,70.0,0.5,55342.0,93.0,92.0,517.0,17.0,7.1,90.0,2.9,68.0,82.1,89.0,7.0,78.0,1.2,3.3,14.57
Chile,yes,9.4,18.4,1.9,18016.25,135787.0,7.0,56.0,5.95,26729.0,88.0,67.0,438.0,17.0,23.4,62.0,1.3,47.0,80.6,60.0,6.2,41.0,2.4,7.7,14.925
Colombia,yes,12.3,17.825,1.0,17319.75,236416.0,12.125,58.0,1.1,27022.0,80.0,59.0,406.0,14.0,22.6,82.0,1.4,53.0,76.7,80.0,5.7,50.0,23.1,23.7,15.465
Costa Rica,yes,2.3,17.0,1.2,16517.0,128412.75,6.4,55.0,1.5,37442.25,82.0,43.0,415.0,16.5,17.5,87.0,1.8,66.0,80.5,73.0,6.3,47.0,10.0,22.0,14.85
Czech Republic,yes,0.5,23.4,1.5,26664.0,190439.0,2.3,74.0,0.6,29885.0,96.0,94.0,495.0,18.0,17.0,89.0,1.6,62.0,79.3,62.0,6.9,77.0,0.7,4.5,14.825
Denmark,yes,0.5,23.3,1.9,33774.0,149864.0,4.5,74.0,0.9,58430.0,95.0,82.0,501.0,19.0,10.0,93.0,2.0,85.0,81.5,70.0,7.5,85.0,0.5,1.1,14.925
Estonia,yes,5.7,17.0,1.7,23784.0,188627.0,5.4,74.0,1.2,30720.0,95.0,91.0,526.0,18.0,5.9,86.0,2.7,64.0,78.8,57.0,6.5,79.0,1.9,2.2,14.98
Finland,yes,0.4,23.1,1.9,33471.0,230032.0,2.2,72.0,1.2,46230.0,96.0,91.0,516.0,20.0,5.5,97.0,2.2,69.0,82.1,68.0,7.9,88.0,1.2,3.6,15.17
France,yes,0.5,20.7,1.8,34375.0,298639.0,3.1,65.0,2.9,45581.0,94.0,81.0,494.0,17.0,11.4,78.0,2.1,75.0,82.9,67.0,6.7,74.0,0.4,7.7,16.2
Germany,yes,0.1,20.0,1.8,38971.0,304317.0,1.4,77.0,1.2,53745.0,90.0,86.0,500.0,18.0,12.0,91.0,1.8,76.0,81.4,66.0,7.3,76.0,0.4,3.9,15.62
Greece,yes,0.4,21.8,1.2,20791.0,148323.0,21.7,56.0,10.8,27207.0,78.0,76.0,453.0,19.0,14.5,67.0,1.8,58.0,81.7,79.0,5.8,69.0,1.0,4.5,15.03
Hungary,yes,3.5,19.9,1.4,21026.0,150296.0,3.8,70.0,1.2,25409.0,94.0,86.0,479.0,16.0,16.7,81.0,1.2,70.0,76.4,58.0,6.0,74.0,0.9,1.5,15.08
Iceland,yes,0.0,17.85,1.6,22543.5,506031.25,1.0,78.0,0.7,67488.0,98.0,76.0,481.0,19.0,6.4,97.0,2.1,81.0,83.2,77.0,7.6,85.0,0.3,11.7,15.075
Ireland,yes,0.2,20.6,2.1,29488.0,370341.0,2.6,68.0,1.2,49474.0,96.0,85.0,505.0,18.0,7.8,80.0,1.3,63.0,82.8,84.0,7.0,76.0,0.5,4.7,14.54
Israel,yes,8.325000000000001,17.85,1.2,18568.25,297393.75,4.6,67.0,0.2,39322.0,95.0,88.0,465.0,16.0,19.7,77.0,2.5,67.0,82.9,74.0,7.2,80.0,1.5,14.1,15.2325
Italy,yes,0.6,22.5,1.4,29431.0,295020.0,8.6,58.0,4.8,37769.0,89.0,63.0,477.0,17.0,15.9,77.0,2.5,73.0,83.6,73.0,6.5,73.0,0.5,3.3,16.47
